posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1485,44:43:13,24:53:43,Jose MORENO,BPBO31,Francia,M,VET-C,utmb,2022
1486,44:43:20,24:53:50,Laurent HEYD,RUNNING TRAIL TERVILLOIS,Francia,M,VET-A,utmb,2022
1487,44:44:39,24:55:09,Xavier FONT,PENYA RATAFIA,España,M,VET-B,utmb,2022
1488,44:45:11,24:55:41,Jack HAUG,NONE,Suiza,M,VET-A,utmb,2022
1489,44:45:16,24:55:46,Mauro CROSATO,US ATLETICA QUINTO MASTELLA,Italia,M,VET-B,utmb,2022
1490,44:46:01,24:56:31,Luís FONTINHA,MOLONI RUNNING TEAM,Portugal,M,VET-B,utmb,2022
1491,44:46:30,24:57:00,Ange SERRADJI,NONE,Francia,M,SENIOR,utmb,2022
1492,44:47:02,24:57:32,Itsumi KUROIWA,TEAM100MILEJP,Japón,M,VET-A,utmb,2022
1493,44:47:06,24:57:36,Dave PENNEY,GOOD TIMES RUNNING CREW,Reino Unido,M,VET-A,utmb,2022
1494,44:47:47,24:58:17,Thaweesak CHIEOCHANSIN,LET'S RUN,Tailandia,M,VET-A,utmb,2022
1495,44:47:56,24:58:26,Tatiana NICHOLSON,NONE,Australia,F,VET-B,utmb,2022
1496,44:48:22,24:58:52,Pasi PIRHONEN,VIVOBAREFOOT FINLAND,Finlandia,M,VET-A,utmb,2022
1497,44:48:22,24:58:52,Mika KAURAHARJU,AUREJARVEN NUTSAAJA,Finlandia,M,VET-A,utmb,2022
1498,44:48:23,24:58:53,Sampo KUOTOLA,"USKO, TOIVO JA RASVA",Finlandia,M,SENIOR,utmb,2022
1499,44:48:36,24:59:06,Michael SPIVAK,מישהו לרוץ איתו,Israel,M,SENIOR,utmb,2022
1500,44:48:47,24:59:17,Hayanari TACHIBANA,NONE,Japón,M,VET-A,utmb,2022
1501,44:49:24,24:59:54,Stefano BARISON,NONE,Argentina,M,SENIOR,utmb,2022
1502,44:49:53,25:00:23,Gil LIÉGEOIS,NONE,Francia,F,VET-B,utmb,2022
1503,44:49:53,25:00:23,Fabien LIEGEOIS,NONE,Francia,M,VET-B,utmb,2022
1504,44:50:13,25:00:43,Prajaknate DACHPRAPHERD,NONE,Tailandia,M,VET-A,utmb,2022
1505,44:50:18,25:00:48,David O'BRIEN,NONE,Reino Unido,M,VET-B,utmb,2022
1506,44:52:09,25:02:39,Dionisio VEGAS PASCUAL,NONE,España,M,VET-A,utmb,2022
1507,44:52:34,25:03:04,Fabrice COMEAU,NONE,Francia,M,VET-A,utmb,2022
1508,44:52:44,25:03:14,Benny MORGENSTERN,NONE,Israel,M,VET-A,utmb,2022
1509,44:53:16,25:03:46,Kevin CAUX,NEZITRAIL,Francia,M,SENIOR,utmb,2022
1510,44:53:22,25:03:52,Pascal VERDIER,NONE,Francia,M,VET-B,utmb,2022
1511,44:54:15,25:04:45,Christophe REGNIER,NONE,Francia,M,VET-B,utmb,2022
1512,44:54:28,25:04:58,Maciej KOKOTEK,HTF LUDWIK SIKORSKI KITA TEAM,Polonia,M,VET-A,utmb,2022
1513,44:54:42,25:05:12,Nicolas RECOULES,NONE,Francia,M,SENIOR,utmb,2022
1514,44:55:25,25:05:55,Alecsa STEWART,NONE,Rumania,F,SENIOR,utmb,2022
1515,44:56:19,25:06:49,Alain GARNIER,CAP'ALOUETTES,Francia,M,VET-A,utmb,2022
1516,44:56:25,25:06:55,Giangrazio CHIRONNA,PODISTICA PRATESE,Italia,M,VET-C,utmb,2022
1517,44:56:38,25:07:08,Florian DROMARD,NONE,Francia,M,VET-A,utmb,2022
1518,44:56:39,25:07:09,Jeremy LANG,NONE,Reino Unido,M,VET-A,utmb,2022
1519,44:56:42,25:07:12,Laure LE POMMELLEC,EPM ATHLETISME,Francia,F,VET-B,utmb,2022
1520,44:56:47,25:07:17,Daniel FERNANDEZ,NONE,España,M,VET-A,utmb,2022
1521,44:57:07,25:07:37,Gaetan HAVEZ,UNTIL THE PEAK,Francia,M,SENIOR,utmb,2022
1522,44:57:17,25:07:47,Kiyoshi KOBAYASHI,NONE,Japón,M,VET-B,utmb,2022
1523,44:59:58,25:10:28,Stan TURCU,NONE,Rumania,M,VET-C,utmb,2022
1524,45:01:21,25:11:51,Eugénie INBONA,NONE,Francia,F,SENIOR,utmb,2022
1525,45:01:27,25:11:57,Sebastien LIENARD,NONE,Francia,M,VET-A,utmb,2022
1526,45:02:14,25:12:44,Virgilio ALCOVER PEREZ,MATAMON TRAIL,España,M,VET-B,utmb,2022
1527,45:02:14,25:12:44,Álvaro SORIANO CLARIANA,MATAMON TRAIL,España,M,VET-A,utmb,2022
1528,45:02:16,25:12:46,Jean BRETON,RUNNING VAL D’HYROME,Francia,M,VET-A,utmb,2022
1529,45:02:20,25:12:50,Gaëtan DEVES,NONE,Francia,M,SENIOR,utmb,2022
1530,45:02:28,25:12:58,Lee LEE CHEUK HIN,NONE,Hong Kong,M,VET-A,utmb,2022
1531,45:03:11,25:13:41,Grant MULLER,NONE,Estados Unidos,M,VET-A,utmb,2022
1532,45:03:23,25:13:53,David STUART,BAD BOY RUNNING CLUB,Reino Unido,M,VET-A,utmb,2022
1533,45:04:55,25:15:25,Paul MARTIN,NONE,Irlanda,M,VET-A,utmb,2022
